,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
189,1,24766.45,3962.63,0.0,0.0,28729.08,28729.08
190,1,1474.5,235.92,0.0,0.0,1710.42,1710.42
191,1,1722.08,275.53,0.0,0.0,1997.61,1997.61
192,1,5747.71,919.63,0.0,0.0,6667.34,6667.34
193,1,18971.84,3035.49,0.0,0.0,22007.33,22007.33
194,1,4900.0,784.0,0.0,0.0,5684.0,5684.0
195,1,2041.09,326.58,0.0,32.04,2335.63,2335.63
196,1,75.85,12.14,0.0,0.0,87.99,87.99
197,1,0.0,2461.7,0.0,0.0,0.0,0.0
198,1,0.0,2461.7,0.0,0.0,0.0,0.0
199,1,0.0,2461.7,0.0,0.0,0.0,0.0
200,1,0.0,2461.7,0.0,0.0,0.0,0.0
201,1,15385.6,2461.7,0.0,0.0,17847.3,17847.3
202,1,456.0,72.96,0.0,0.0,528.96,528.96
203,1,0.0,0.0,0.0,0.0,0.0,2688.67
204,1,0.0,3034.48,0.0,0.0,0.0,0.0
205,1,18965.52,3034.48,0.0,0.0,22000.0,22000.0
206,1,9482.76,1517.24,0.0,0.0,11000.0,11000.0
207,1,140.0,0.0,0.0,0.0,140.0,140.0
208,1,843.0,7.47,0.0,0.0,843.0,843.0
209,1,269.0,7.47,0.0,0.0,269.0,269.0
210,1,46.7,7.47,0.0,0.0,54.17,54.17
211,1,3416.04,546.57,0.0,0.0,3962.61,3962.61
212,1,173.02,26.98,0.0,0.0,200.0,200.0
213,1,161.0,25.76,0.0,0.0,186.76,186.76
214,1,5157.0,825.12,0.0,0.0,5982.12,5982.12
215,1,125.0,360.0,0.0,0.0,125.0,0.0
216,1,2250.0,360.0,0.0,0.0,2610.0,2610.0
217,1,0.0,62.09,0.0,0.0,0.0,0.0
218,1,336.9,62.09,0.0,0.0,398.99,398.99
219,1,125.0,0.0,0.0,0.0,125.0,0.0
220,1,0.0,0.0,0.0,0.0,0.0,2583.75
221,1,1331.1,212.98,0.0,0.0,1544.08,1597.32
222,1,906.52,161.47,0.0,0.0,1067.99,1067.99
223,1,1932.69,356.32,0.0,0.0,2289.01,2289.01
224,1,375.0,60.0,0.0,0.0,435.0,435.0
225,1,2009.0,402.6,0.0,0.0,2292.9,2424.3
226,1,0.0,13.78,0.0,0.0,0.0,0.0
227,1,0.0,13.78,0.0,0.0,0.0,0.0
228,1,86.12,13.78,0.0,0.0,99.9,99.9
229,1,0.0,101.22,0.0,0.0,0.0,0.0
230,1,632.6,101.22,0.0,0.0,733.82,733.82
